epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,383.045,1.51673,1.85373,1.62506,0.16987,0.39195,0.17655,0.08312,2.03575,12.8108,2.9166,0.0692933,0.00196,0.00196
2,753.45,1.61839,1.58879,1.69064,0.12788,0.09188,0.06219,0.02228,2.39756,4.97615,3.38309,0.0378816,0.00388159,0.00388159
3,1121.23,1.61863,1.55139,1.70617,0.19122,0.45966,0.16028,0.05875,2.58622,14.8164,3.30982,0.00639065,0.00572398,0.00572398
4,1479.54,1.58881,1.45885,1.64334,0.25914,0.41133,0.27019,0.10592,2.3664,5.01206,2.75832,0.0056436,0.0056436,0.0056436
5,1885.98,1.55803,1.39442,1.63193,0.23964,0.46188,0.16081,0.07027,1.86797,11.705,2.14439,0.0055248,0.0055248,0.0055248
6,2244.06,1.53692,1.3339,1.59821,0.584,0.50334,0.49702,0.27369,1.80907,2.32846,2.04209,0.005406,0.005406,0.005406
7,2592.83,1.48155,1.30347,1.59085,0.68202,0.60364,0.63173,0.36691,1.6041,1.58762,1.8848,0.0052872,0.0052872,0.0052872
8,2941.61,1.46344,1.25488,1.57662,0.41273,0.57582,0.47448,0.23354,1.85552,2.08275,2.22634,0.0051684,0.0051684,0.0051684
9,3294.21,1.48874,1.26228,1.58061,0.69783,0.58326,0.61932,0.34907,1.60491,1.61765,1.82788,0.0050496,0.0050496,0.0050496
10,3705.62,1.41806,1.24019,1.53517,0.55936,0.46761,0.47985,0.26521,1.77608,2.13028,1.91076,0.0049308,0.0049308,0.0049308
11,4107.84,1.41306,1.2128,1.52816,0.55959,0.56719,0.56346,0.33306,1.54136,1.56747,1.77808,0.004812,0.004812,0.004812
12,4506.62,1.36766,1.13701,1.49894,0.73032,0.69494,0.73128,0.45617,1.40419,1.13955,1.64126,0.0046932,0.0046932,0.0046932
13,4911.51,1.35565,1.11658,1.4923,0.80614,0.6345,0.7265,0.45449,1.41259,1.21732,1.63981,0.0045744,0.0045744,0.0045744
14,5293.27,1.35344,1.11157,1.47926,0.69954,0.63957,0.69024,0.43318,1.42055,1.28254,1.67417,0.0044556,0.0044556,0.0044556
15,5651.89,1.34068,1.10304,1.46538,0.77326,0.73581,0.75855,0.48261,1.39336,1.1367,1.59257,0.0043368,0.0043368,0.0043368
16,6008.77,1.31918,1.0451,1.4452,0.83741,0.71073,0.77004,0.49314,1.32395,1.10764,1.56556,0.004218,0.004218,0.004218
17,6361.58,1.31948,1.07295,1.46765,0.75244,0.70203,0.70957,0.43967,1.41528,1.22374,1.64331,0.0040992,0.0040992,0.0040992
18,6716.12,1.32284,1.04627,1.46671,0.6575,0.59388,0.61835,0.37901,1.44938,1.22096,1.63407,0.0039804,0.0039804,0.0039804
19,7065.99,1.34516,1.04315,1.45896,0.76158,0.69439,0.74798,0.46008,1.38246,1.0791,1.55777,0.0038616,0.0038616,0.0038616
20,7459.7,1.28399,1.02187,1.4332,0.83718,0.67682,0.74912,0.49179,1.33312,1.09629,1.55338,0.0037428,0.0037428,0.0037428
21,7856.9,1.26987,0.98905,1.42263,0.85292,0.72433,0.78323,0.48976,1.32193,1.0054,1.52152,0.003624,0.003624,0.003624
22,8211.72,1.29116,1.03163,1.44081,0.88454,0.69761,0.78734,0.51896,1.29351,1.00682,1.51423,0.0035052,0.0035052,0.0035052
23,8559.59,1.26139,0.97238,1.41128,0.74981,0.74595,0.78104,0.50832,1.27239,0.97321,1.49222,0.0033864,0.0033864,0.0033864
24,8905.86,1.24256,0.93732,1.4044,0.85858,0.72551,0.79396,0.52863,1.28061,0.96182,1.50891,0.0032676,0.0032676,0.0032676
